Ciliated_cells;Cilia_p_value;Club_cells;Club_p_value;Endothelial_Cells;Endothelial_p_value;Epithelial_AT1_ME18.5;Epithelial_AT1_ME18.5_p_value;Epithelial_AT2;Epithelial_AT2_p_value;Lipo_Fibroblast;Lipo_Fibroblast_p_value;Matrix_Fibroblast;Matrix_Fibroblast_p_value;Myeloid_Immune Cells_ME18.5;Myeloid_Immune Cells_ME18.5_p_value;MyoFibroblast_ME18.5;MyoFibroblast_ME18.5_p_value
Ttc36;0;1700018L02Rik;0.000001;Ly6a;0.000124;Lmo7;0.000007;Sftpa1;0.000006;Sprtn;0.000454;Fgf14;0.000454;Gm8615;0.000002;6330549D23Rik;0.000163
Ttll6;0;1810064F22Rik;0.000001;Esam;0.000127;Clasrp;0.000008;Cxcl15;0.000007;Tmem233;0.000454;Gareml;0.000454;Sash3;0.000003;Dido1;0.000308
Ubxn10;0;Slc16a11;0.000001;Aplnr;0.000141;Cryab;0.000008;Abca3;0.000007;Zscan2;0.000454;Gbgt1;0.000454;Ccl6;0.000003;Zhx3;0.000316
Ugt8a;0;AI593442;0.000001;Ace;0.000172;Hopx;0.00001;Hc;0.000008;Fitm1;0.000454;Gm10400;0.000454;Ifi205;0.000003;Hspb7;0.000454
Ulk4;0;Abcc8;0.000001;Lmo2;0.000182;Ndst1;0.000011;Bex4;0.000008;Gdf6;0.000454;Gm5416;0.000454;Coro1a;0.000003;Id4;0.000454
Vwa3a;0;Ace2;0.000001;Nav1;0.000185;Akr1c14;0.000012;Fasn;0.000009;Gm10421;0.000454;Gpr4;0.000454;Clec4n;0.000003;Il12rb1;0.000454
Wdr16;0;Adh7;0.000001;Ddah1;0.000195;Tspan2;0.000014;Reep4;0.000009;Gm16287;0.000454;Hoxa1;0.000454;AF251705;0.000004;Inhba;0.000454
Wdr78;0;Aldh3a1;0.000001;Wscd1;0.000228;Slc6a14;0.000015;Pi4k2b;0.000009;Gm5129;0.000454;Hsd17b7;0.000454;Parvg;0.000004;Kcnj12;0.000454
Wdr93;0;Sgsm1;0.000001;Pitpnc1;0.000228;Ass1;0.000015;Tmem164;0.00001;Kcnj6;0.000454;Itgbl1;0.000454;Fermt3;0.000004;Kcnmb1;0.000454
Zc2hc1c;0;Ptpn5;0.000001;Pomc;0.000228;Zfp266;0.000016;Acot1;0.00001;LOC101243624;0.000454;Larp6;0.000454;Arhgap30;0.000004;Kiss1;0.000454
Zfp572;0;Ppapdc1a;0.000001;Gm16740;0.000228;Bcam;0.000021;Mt2;0.000011;Lrrc8b;0.000454;Serpina3i;0.000454;Tmem86a;0.000005;Lhcgr;0.000454
Zmynd10;0;Blnk;0.000001;Skida1;0.000228;Cldn18;0.000022;Avpi1;0.000011;Naip1;0.000454;E130018N17Rik;0.000454;Ms4a6c;0.000005;Map3k7cl;0.000454
Znrd1as;0;Popdc2;0.000001;Sema6a;0.000274;Scnn1g;0.000023;Cftr;0.000011;Nr5a2;0.000454;Dusp5;0.000454;Adap1;0.000005;Mark1;0.000454
Ak7;0;Mrgpre;0.000001;Elk3;0.000278;Fam134b;0.000024;Retnla;0.000013;Peg10;0.000454;Depdc7;0.000454;Axl;0.000006;Mir3101;0.000454
Aqp7;0;Zpbp2;0.000001;Lyve1;0.00028;Gja1;0.000026;Lama3;0.000013;Phf11c;0.000454;Manr;0.000454;Pik3r6;0.000006;Mmp21;0.000454
Armc3;0;Chad;0.000003;Cd200;0.000299;Murc;0.000028;Chil1;0.000014;1700028K03Rik;0.000454;Mapk4;0.000454;Msr1;0.000006;Mrgprh;0.000454
Armc4;0;Sirt5;0.000005;Ugcg;0.000312;Tspan8;0.00003;Napsa;0.000014;1700108F19Rik;0.000454;Mar.03;0.000454;Gna15;0.000006;Nap1l5;0.000454
Arvcf;0;Lpcat4;0.000008;Cdr2l;0.000356;Plp2;0.000032;Hdc;0.000015;4930547E14Rik;0.000454;Masp1;0.000454;Clec4a3;0.000007;Ngf;0.000454
Avil;0;Cckar;0.000008;Lpar6;0.000357;Lama5;0.000034;Sdc1;0.000016;4930579K19Rik;0.000454;Mcm9;0.000454;Stap1;0.000007;Nrn1l;0.000454
BC030307;0;Syn3;0.000008;Ephb4;0.000364;Tshb;0.000035;Ppp1r1a;0.000017;5930412G12Rik;0.000454;Mettl13;0.000454;Ugt1a7c;0.000007;Ntf3;0.000454
BC051019;0;BC030867;0.000008;She;0.000368;Serpinb6b;0.000036;Csf2;0.000017;Adtrp;0.000454;Nell2;0.000454;Mx1;0.000007;Nxnl2;0.000454
Bcas1;0;Ephb3;0.000012;Plvap;0.000378;AA986860;0.000037;Pla2g4f;0.000017;Alkbh2;0.000454;Prtn3;0.000454;9430076C15Rik;0.000007;Otof;0.000454
Cadm2;0;1700012D01Rik;0.000016;Tspan7;0.000391;Il18r1;0.000047;Urah;0.000017;Amph;0.000454;Tmem200a;0.000454;Arrb2;0.000007;Parm1;0.000454
Calb2;0;Mia;0.000016;Btbd3;0.000426;Cdkn2b;0.000055;Rnase4;0.000018;Aoc2;0.000454;Ucn2;0.000454;Mocos;0.000007;Ptchd1;0.000454
Catip;0;Fam132a;0.000018;Fam65a;0.000457;Fzd2;0.00006;Mid1ip1;0.000018;Aven;0.000454;Xlr3b;0.000454;Znf41-ps;0.000007;Rgs7bp;0.000454
Ccdc108;0;BC029722;0.000033;Sox17;0.000474;Plb1;0.000064;Cebpa;0.000019;Best3;0.000454;2010005H15Rik;0.000454;Cyb561a3;0.000009;Sbk3;0.000454
Ccdc11;0;Slc33a1;0.000048;Pde4b;0.000507;Tspan15;0.000066;Npc1;0.000019;Car11;0.000454;2810442N19Rik;0.000454;Rac2;0.00001;Shd;0.000454
Ccdc113;0;Mboat1;0.000049;Acvr1;0.000542;Ahnak;0.000068;Cenpu;0.00002;Cbln3;0.000454;4931428L18Rik;0.000454;Plet1;0.00001;Six4;0.000454
Ccdc151;0;Igsf1;0.000049;Piezo2;0.00055;Mal2;0.00007;Atp8a1;0.00002;Ccdc51;0.000454;4933407K13Rik;0.000454;Cd52;0.000011;Slc20a2;0.000454
Ccdc155;0;4930562F07Rik;0.000068;Fscn1;0.000555;Map6;0.000073;Alb;0.000021;Ces1f;0.000454;Aldh1a3;0.000454;Pilrb1;0.000011;Slc26a6;0.000454
