bbs-8
daf-7
dyf-5
gpa-3
ins-14
osm-6
nhr-167
F49E12.8
bath-37
T06G6.3
ifta-2
W07G1.5
C04E6.8
nekl-4
F02E11.2
M6.4
daf-28
dyf-1
gpa-10
gpa-15
osm-5
tax-2
F13E6.2
F38E11.6
R08A2.7
R10H10.4
glb-28
cdkl-1
dyf-19
ZK757.1
C05D10.2
ift-74
F20A1.4
H23L24.4
T02G5.3
oig-8
nphp-2
dmd-9
nhr-277
che-2
che-11
dyf-6
ins-18
nex-4
osm-12
tbb-4
tsp-6
F46F2.5
frpr-9
mks-6
R07A4.2
ador-1
Y38H6C.14
C27F2.1
sre-14
C45G9.13
F23H11.7
ift-81
mks-3
R13A1.5
T03G11.3
Y102A11A.9
ZK328.7
tsp-4
F49C5.4
T05C12.8
F10E9.1
T12B3.1
Y48G8AR.2
dyf-11
flp-3
flp-7
scd-2
tba-9
zig-4
C09G1.5
D1081.4
ZC455.1
glb-6
ifta-1
npr-7
ZK121.2
H17B01.5
tax-4
mks-5
F28G4.3
F59A1.11
F59B10.2
F31F7.2
cil-7
Y37E11AL.1
bbs-1
dyf-3
droe-4
C16D9.6
Y37F4.1
ceh-23
ins-3
tub-1
xbx-1
ceh-57
F15H10.7
F52D10.4
Y41C4A.6
C31H2.3
C34D4.1
T13C2.7
che-7
dgk-3
dyf-2
lys-1
ocr-2
rpi-2
F46H6.5
bbs-2
gcy-14
xbx-9
D2089.3
arrd-28
flp-25
M04B2.6
C15C7.4
srz-24
tat-6
ZC132.3
R11D1.12
rgs-3
C13G3.1
F09E8.8
K02D3.1
R102.2
T05H10.8
T08G11.3
kcnl-3
F28F9.3
ZK682.7
grl-8
F23D12.3
bbs-5
del-4
arrd-4
C09B9.1
C56G2.9
Y67D8B.2
hen-1
rom-2
Y41C4A.17
amt-2
gpa-11
odr-1
zig-3
F15A4.5
F28D1.6
B0222.1
nhr-158
C39D10.2
W09G12.7
T21B4.15
fkh-8
C01G12.7
cgt-1
jbts-14
R10F2.4
nekl-1
M153.4
dyf-13
osm-10
rab-28
srv-15
E04D5.5
F57C7.4
M04D8.7
pde-5
R02F11.2
nhr-216
ZC13.2
C27A2.8
F13H10.9
mod-5
nlp-7
F27C1.11
F36D4.4
T02C12.5
gcy-9
gpc-1
ins-4
C10C5.7
F20G2.6
glb-14
dyf-18
T21C9.11
clec-86
F01E11.3
F23H11.6
F35H10.2
arl-13
F16C3.3
flp-17
W05E10.2
Y6E2A.5
C38C3.6
F48E3.9
ZK813.5
arl-6
daf-11
elc-2
gcy-1
gcy-3
gcy-4
gcy-5
gcy-7
gcy-8
gcy-15
gcy-17
gcy-18
gcy-21
gcy-23
gpa-9
ins-6
ins-9
ins-24
ins-26
nhr-38
nhr-124
nlp-2
odr-10
srd-18
srd-27
srd-70
srg-15
srh-30
sri-30
sri-73
srj-18
sru-3
srv-5
srv-32
srv-34
srx-12
srx-19
srx-38
srx-68
str-131
tba-5
lgc-20
C05C9.2
C07B5.3
C09G1.2
C29F4.3
irld-24
C31E10.4
C40H1.3
E03G2.1
irld-2
F02D8.1
F14D7.8
lurp-3
F28C6.9
sre-6
F35C5.11
F38B2.2
irld-34
K02E2.1
K04D7.6
xbx-3
nphp-1
R102.1
T02D1.4
T07D10.1
T09B9.3
T10G3.4
Y41E3.6
sre-42
srab-24
Y105C5B.8
clec-194
Y116A8C.40
sre-20
ZK856.6
ZK863.1
B0432.1
osta-1
srt-65
C05E11.6
C12D5.4
nhr-157
nhr-159
C18H7.6
C24A3.1
C36C9.5
rdl-1
C49G7.1
srb-19
D1069.1
F08B4.4
F13H8.6
F27C1.13
nhr-188
F49D11.2
irld-38
ttll-11
srbc-40
K02A6.2
K03H6.4
T01B11.1
T05A8.5
T20H9.6
T23B3.6
srt-62
irld-15
capa-1
cyp-33C11
Y55H10A.2
Y60C6A.1
cng-2
ZC132.9
ZC190.6
ZK994.6
srbc-71
ZK418.10
ZK418.11
T01D1.7
ntc-1
T10D4.15
T08G5.15
ZC334.13
C18H7.12
cng-1
egl-47
nlp-41
F58B4.3
sulp-1
cng-3
col-95
gcy-6
gcy-20
gcy-27
gpa-6
gpa-8
gtl-1
ins-5
ins-30
lim-6
ocr-1
pax-2
sra-37
srv-14
str-112
str-144
C01G10.16
C03E10.3
C25D7.15
C28A5.6
glb-12
F33E2.5
F41E7.9
F44G4.7
sptf-1
anoh-1
F58B4.6
R02D5.6
ugt-56
T06D8.2
cyp-13A1
T13F3.7
T25B9.3
dct-15
W09H1.1
Y9C2UA.1
Y38F1A.4
Y38H6C.8
Y113G7A.14
B0294.1
sox-4
C25E10.7
C25E10.10
C25E10.11
C30F12.3
C39D10.5
aexr-3
nep-4
F10G2.7
F28A12.3
F39H12.2
npr-27
F45E12.6
clec-67
F58A6.2
K04F10.2
irld-13
T24E12.10
gpa-18
Y50C1A.2
swm-1
bbs-4
F14D7.12
T03F6.9
lurp-4
C04F6.7
cwp-4
gcy-19
klp-6
nlp-5
odr-3
pmp-4
tba-6
C05E7.3
C15A7.2
C26G2.2
lron-4
ttr-44
K08C7.4
xbx-5
ZC84.7
ZK1320.5
C01F1.4
C02B8.3
C18F10.2
npr-11
C38C5.1
D2092.6
nhr-36
F15E6.9
nhr-186
egas-4
H41C03.2
K12B6.4
M02D8.6
Y22D7AL.16
H32K21.1
C25B8.8
D1007.18
C02B4.4
C16D2.2
F11A6.15
Y17D7B.2
dhhc-11
bre-2
dac-1
gpa-2
gpa-14
kqt-3
mps-1
osm-9
tre-3
C27A7.8
C48B4.3
F32D8.1
K07C5.9
M05D6.1
M7.12
lyst-1
npr-20
T10B9.9
B0034.5
snet-1
C17G10.7
C29F5.3
C47D2.1
bbs-9
F26G1.2
F45E1.5
K07C11.3
K10G6.4
Y53G8AL.1
ZK185.2
T23B7.3
F13E9.15
aqp-12
K09H11.6
ceh-54
dop-6
frpr-16
srh-154
srw-17
clec-125
inx-18
F13A7.11
K06A4.2
lgc-53
C39D10.11
fbxa-136
tkr-2
K11H12.9
npr-31
Y55F3BR.10
T25B6.4
srt-50
F33H1.6
ZK180.7
gnrr-6
srw-145
T26G10.5
T28F3.9
glb-5
C30A5.10
K09F6.6
T05C1.2
ins-22
srd-55
srg-4
srg-5
srg-62
srh-60
srh-149
srh-204
sri-2
sru-2
srv-13
srv-16
srv-27
srw-10
srw-11
srx-62
srx-67
srx-73
srx-104
str-78
str-92
str-114
str-162
str-163
str-199
str-261
unc-39
C01F6.2
srsx-28
F09B12.5
fbxb-69
F47B10.3
cwp-5
F54D1.1
F59A1.12
R11D1.2
R11D1.7
T05F1.7
T10G3.2
Y45F10D.15
Y51A2B.2
Y70C5A.2
srz-10
srt-64
C03H5.7
sre-9
nhr-30
nhr-258
nhr-166
D1007.3
F14F9.3
srsx-32
F20D12.7
ins-39
F26A1.4
F37A4.6
irld-40
irld-11
irld-45
K07C11.10
K09D9.11
R10F2.5
T01G6.1
dmsr-13
tmem-231
Y39G10AR.15
srsx-5
srz-104
C30H6.12
M02D8.7
C36B7.8
srz-105
F18E9.8
C54D10.13
K08H10.10
R02D5.9
F36D1.12
F38B7.11
Y34F4.6
F47D2.11
F42G8.19
D2023.3
lsl-1
ZK971.1
srh-28
srx-117
E02H4.5
F32H5.1
srm-6
Y7A5A.7
Y57A10B.6
Y57G11C.44
egas-1
B0252.1
C01G5.7
C12D5.3
srt-25
C18E3.4
C18G1.6
C25G6.1
C52B11.5
tctn-1
F09E5.12
F09E5.14
F10E9.10
F53G12.4
F54C1.6
fbxb-72
K02D10.2
M03D4.3
srbc-58
T25F10.4
W03F11.1
W03G1.5
Y102A11A.2
ZC190.2
ZK822.6
bus-1
T03E6.9
cal-3
egl-6
srv-4
unc-3
C38H2.3
srb-17
gnrr-7
F22D6.15
F56A12.2
T11B7.2
srtx-1
srab-4
C36B7.4
oac-59
irg-2
C54H2.4
K06H7.1
K11C4.1
oac-40
Y41G9A.6
Y43C5A.7
grl-9
srh-21
ift-20
F48F5.6
sre-4
Y54E2A.10
B0403.3
clhm-1
F38E9.1
glb-16
F59B1.10
H10D18.1
Y55F3AM.11
gst-31
R07E5.17
C18H9.5
R02E12.4
Y9C9A.16
F23A7.5
F58D5.9
clec-146
srg-56
C54C6.5
F07B10.4
srz-85
F14F9.6
T25D1.3
Y40B10A.5
T23E7.5
F22E5.11
cutl-21
set-23
unc-30
F14D7.6
C15H9.3
R05G6.1
mks-1
acr-14
F27E5.5
Y62H9A.13
T22E5.6
AH9.4
C43H6.6
F56F11.1
tkr-1
nekl-3
T11F9.1
frpr-10
ZC449.4
gcy-37
srv-7
C16D6.1
sre-19
F20A1.2
Y53G8B.1
C02H6.3
F15D4.4
M01G12.9
cyp-34A6
fbxa-11
W02D7.5
abu-2
col-36
gpa-13
nhr-52
nlp-32
paf-1
pes-23
sra-12
sra-14
sra-32
sra-39
srd-12
srd-23
srd-33
srg-2
srg-10
srg-34
srh-23
srh-25
srh-32
