Plasma Cells,Macrophages,AT2 Cells,Club Cells,B Cells,T/NKT Cells,Monocytes,Dendritic Cells,Basal Cells,Mast Cells,Endothelial/Lymphatic Cells,Fibroblasts,AT1 Cells,Ciliated Cells
CYB5A,PCOLCE2,NFKBIA,VIM,QRSL1,LSP1,RPS15,NAAA,TCF4,H3F3B,ELK3,FMOD,NEBL,IFT27
CST3,LAIR1,TMEM87A,CAV1,CD52,EEF1D,SLC34A2,HAVCR2,ITGA3,LINC00672,LUZP1,FIBIN,NEXN,C14orf142
S100A11,LRP1,CSF3R,S100A4,ISG20,RORA,S100A13,TYMP,SERTAD4-AS1,CST7,MYCT1,SULF1,EPB41L5,SYNE2
FTL,FGR,WFDC2,HLA-C,GNG7,FTH1,RNASET2,HMHA1,PDPN,GPR65,RAPGEF4,FLNC,C14orf132,BPIFB1
FTH1,TCEB2,RGS16,CAV2,GLUL,FLT3LG,SDC4,C1orf162,HLA-DRA,EXD3,SERPINE1,HGF,JUP,SPA17
S100A6,RNF130,LDHB,SH3BGRL3,GSTP1,APLP2,GIMAP4,RPS3A,PALLD,HLA-DRB1,TGFBR3,MOXD1,SHROOM3,IFT22
RPL39,ABCG1,COBLL1,TMSB4X,ANXA1,IFITM1,IFI30,RHOG,LRRC8A,SFTPA2,CXCL12,TBX2-AS1,RHOBTB3,DNAH9
NUCB2,GRINA,PARD6B,EMP2,CD74,GMFG,MLPH,ARL4C,TPM2,LYL1,CX3CL1,C1QTNF1,MAGI3,C9orf9
ITM2B,RNF149,FOLR1,C1orf162,RPL37,HNRNPA1,PLAC8,TYROBP,RPL13A,LPCAT2,NOTCH4,RASL12,SEMA5A,CTGF
SDF2L1,LTA4H,BMP2,SPI1,ARHGDIB,CD63,GIMAP1,PTMA,KLK10,HLA-DQB1,FLNB,S1PR3,EDN1,CFAP100
UQCR10,ARPC1B,ARFGEF3,SLC9A3R2,RPL8,CYTIP,LILRB1,IL18,CST3,TMEM176B,PLSCR4,NKD2,PLXNA1,CFAP52
HLA-DRA,HNMT,CHI3L2,ATP6V0B,PPM1K,RPLP1,MX2,ATP1B1,LRIG3,BST2,CNKSR3,MRGPRF,GOLGA8A,ATP2A2
RPL13,DOK2,KCNJ15,TPBG,DUSP1,CSTB,SFTPB,NAPSA,DLG5,ATP2A3,PLAC9,FGF2,FSTL1,CP
RPL14,HCST,SLC25A5,GLRX,RPL15,RP11-596C23.2,RPS27A,MARCKSL1,CAV2,RPL27A,TIE1,ANGPTL2,SCNN1B,TMEM67
RPL15,GMFG,AKAP13,MECOM,BTG1,RPL27A,NUP214,DHCR24,TSPAN1,ZNF667-AS1,SMAD6,CD248,SYNPO,HN1L
ACTG1,SLC31A2,ACAT2,FGFR3,MGST1,BIN2,GCHFR,GCHFR,ABCC3,COL18A1,NES,RERG,UPK3B,MARCKS
RPL24,HN1,RP11-259K15.2,HOMER2,CYB5A,HLA-DRA,SAT1,FABP5,RPS6,BACE2,NOSTRIN,ADAMTS2,NDST1,CIB1
RPL21,MGST3,FHDC1,LPL,RPL9,RPS7,RHOG,FAU,CD74,RPS3,ITGA6,STEAP1,MAGI1,CCDC39
IFITM3,UPP1,MPST,CD63,SFTPC,KIAA1551,HLA-E,PDLIM1,TMEM237,CH17-189H20.1,ENPP2,ABCA6,ROR1,CCDC153
PTMA,LST1,CYBRD1,GOLM1,RPS2,RPS2,IL1B,CIITA,HS6ST1,RPL13,PLA1A,ECM2,ERBB2,TACSTD2
HLA-DPB1,CFL1,SLC22A31,ARPC3,GPX1,ALDH2,SFTA2,ADGRE2,ID1,RPL36AL,ZNF385D,MEIS1,PHLDB2,HSPH1
ARPC1B,AGRP,PON2,MRC1,CTSD,ADA,VNN1,LINC01480,EPPK1,FCGRT,SYNPO,COL15A1,ATOH8,VSTM2L
RPL26,CD81,DUOXA1,PAWR,AC079767.4,HIST1H1D,GAPT,GSN,PTPRS,SDC4,GJA5,HTRA3,SCD5,TRAF3IP1
RPL7,MYL6,VEPH1,ASS1,BLNK,GPX1,WBP5,RPS19,RBMS3,PIK3IP1,FAM43A,SGCA,PDPN,SSBP4
BTF3,C15orf48,AQP4,MSI2,IRF8,NUPR1,H3F3B,RPS7,RPL34,SCD,FAM167B,FRZB,PKDCC,FAM166B
RPL10A,ARL6IP1,TMEM243,MAL2,RPL28,GATA3,COX4I1,ARHGAP9,RPS27A,MEIS2,ADGRG6,RP11-394O4.5,ITLN2,STMND1
IGKV3-11,ITGB2,TSPAN3,KLF5,RPL5,RPL32,LPL,KCTD12,S100A16,SYTL2,TEK,TBX3,TTLL7,CKB
RPL29,TUBA1B,GOLGA4,ACP5,CD59,SERPINA1,MUC1,ARPC3,RPL3,S100A4,PKIG,PIEZO2,SNX22,OSBPL6
GNG5,OAZ1,MT1E,RPL41,SSPN,FCMR,TSPAN3,RPS15A,RIPK4,PDLIM1,F8,FST,ATP13A4,CCDC30
CTSH,PLBD1,CLDN4,SFTPB,MICAL3,RPS3A,B2M,NAV1,AHNAK2,CYB5A,TMEM204,AOX1,SCAI,NPHP1
ATP1B1,GYPC,SUSD2,CD37,RPL35,GIMAP1,RCSD1,S100A13,FTH1,NPC2,RUNX1T1,MXRA5,ALS2CL,CLDN4
MANF,ADAM17,RAB27A,MAGI3,GPX4,MT-ND1,ZNF467,SERPINA1,SERPINA1,GRN,SNRK,HAS1,APBB2,GTF2I
TSPO,AKR1C3,CA2,LGALS3,FOS,IKZF1,ITGAM,Sep-06,RPS24,CSTB,TM4SF18,FRMD6,WTIP,RRAD
RPS29,ZNF706,AGPAT2,MYH14,RPL27,RPS6,F13A1,WIPF1,JUP,GNPTAB,SLCO4A1,WNT2,CH17-360D5.2,VWA3B
SDC4,MTPN,IFT57,MGST3,RPS4X,RPL11,RPS3A,CXCL17,HLA-DPA1,RPL24,MEIS2,BMP5,NXN,RP4-666F24.3
COX4I1,SOAT1,SPINT2,ARFGEF3,RTN4,RPL10A,CREB5,SFTPD,HLA-DRB1,RPL18A,NDRG4,SBSPON,HEG1,TCTEX1D1
CFL1,ARPC5,CCDC141,S100A14,DAPP1,RPS4X,LMNA,PLA2G16,KCNN4,RPS6,SASH1,HSPB2,FZD6,CCDC74A
GSTP1,CLEC7A,AHCYL2,C3,ALDH2,CD99,NAPSA,CMTM3,HLA-DPB1,RASGRP4,RAPGEF5,GAS1,CDKN2B,CCP110
FKBP2,ARHGAP18,NTN4,IRX3,Mar-01,TSC22D3,SEPP1,RPL15,COL27A1,LAT2,COL18A1,CACNA1C,LBH,MSI2
DDIT4,RP5-839B4.8,FMO5,GMFG,HLA-A,RPS14,TSPO,H3F3A,C1orf106,OSBPL8,GATA2,SGCD,GALNT5,CSPP1
SDCBP,ALDOA,KRT19,MSR1,RPS7,SYNE2,FKBP5,RPS15,PRSS23,S100A6,UACA,OMD,C2orf54,CYSTM1
OAZ1,RNF13,CXADR,CAPG,HLA-DQA1,ACTB,DHCR24,FMNL1,FABP5,UBA7,GFOD1,MFAP2,SLC15A2,CD164L2
RPL8,PPT1,NEDD4L,S100A10,SFTPB,RPS25,PLA2G16,HLA-DQA2,FSTL1,AKAP5,RASIP1,BICC1,ABCA8,SPEF1
ANXA2,IL1RN,ACSL4,DSTN,APOC1,GIMAP6,SFTPA2,NGFRAP1,ADGRG1,HNRNPA1,TNFAIP1,PDZRN3,FAM167A,C6orf118
UBE2J1,CEBPB,SCNN1A,GSTO1,RP5-1171I10.5,FNBP1,SFTPA1,FXYD5,SEPW1,BTK,TSHZ2,OSR1,DAB2IP,CTXN1
HLA-DRB1,CD164,ITPR3,OLR1,DBI,CYB5A,SPI1,PREX1,AQP5,HLA-DMA,ANGPT2,DNM3OS,MISP,SOX4
TKT,RMDN3,FLRT3,RBMS3,ATP1B1,BCL2,HMOX1,HLA-DOA,COL18A1,HINT1,TNXB,LOXL1,ABI3BP,TFF3
MEF2C,HLA-A,GPR160,TMEM98,CLEC2D,MATK,EEF1D,RPL13A,SFN,CD52,ZEB1,NFASC,NRG1,ENAH
COX8A,TGFBI,CRB3,CD53,KIAA1551,HIST1H2BN,TXN,AP1S2,RNF43,BMP2K,CASKIN2,NKD1,AQP5,FAM81B
ETS2,LRRFIP1,ASPH,ERP27,ANXA2,TNF,NGFRAP1,LY86,RPL32,SMIM3,PTPN14,FEZ1,TMEM139,MAATS1
ANXA5,GNAI2,GDF15,APOC1,RPS11,BRI3,APOE,TMSB4X,RPS7,CTSZ,GIMAP8,HOXB-AS3,GPRIN2,PLEKHS1
TCEB2,MAFB,ETV5,VSIG4,RP1-34B20.21,RPL4,TSTD1,SFTA3,DBI,ANXA5,ADGRG1,FAM13C,FBLN5,AZIN1
DEK,EFHD2,FADS1,PFN1,SFTPA2,RPL18,MARCKS,IL13RA1,DAB2IP,LINC00996,KDR,BCHE,PTPN21,ALOX15
SCD,RND3,PLA2G4F,SLC11A1,SFTPA1,CTSH,ALDOA,PEBP4,TMSB4X,PBX1,DNAJB4,LARP6,FAM46B,PLPP2
ERLEC1,CLIC1,EPS8,EVI2B,HLA-DRA,FABP5,EFHD2,AK1,ANKRD36C,VIM,SHROOM4,TAGLN,C1orf167,CFAP46
FBXW7,VASP,CPB2,TMEM54,RAC1,DUSP1,SULF2,RPL28,NFIB,SFTA2,PDLIM4,HMCN1,KLK11,SEPW1
VIMP,ATOX1,KLF5,CTTN,ORAI2,RARRES3,RPL19,APLP2,GAS6,PLXNC1,FAM65A,SNAI2,CRYAB,RSPH4A
ARPC2,CXCL5,SGMS2,MARCO,RPL29,GLUL,SERPING1,SAMHD1,LPAR6,FTL,RHOJ,TGFBR3,FAM189A2,KIAA1211L
ENO1,MFSD1,RPL24,MYL12A,PSAP,GRN,TALDO1,S100A14,BTF3,ZFP36L2,LMO2,NOTCH3,RP1-78O14.1,CCDC181
HLA-DQB1,LPXN,ZDHHC3,C1QC,SCD,INPP5D,RPS7,CD59,ASAH1,ATP1B1,LAMA4,PTGIR,MMP23B,DNAI2
SLC25A5,ATP6AP1,EPDR1,LST1,RPL7A,CD81,AK1,VASH1,NUAK1,PTGS2,EVA1C,LAMC1,PHACTR3,MOK
UQCR11,DEFB1,SLCO4C1,ANXA5,SLPI,NEAT1,FES,UCP2,CD109,PPA1,EPHB4,MAOB,AJUBA,DNPH1
GNB2L1,TPP1,RPS12,LCP1,LRMP,SLA,NACA,LCP1,ENAH,SLPI,BGN,GPX3,AATK,LRTOMT
RPS15,NCEH1,ST3GAL5,RPL34,ANKRD44,GPX4,CXCL17,GPR82,OAZ1,ALCAM,TMEM255B,SMOC2,PLCXD2,LRRC10B
PEBP1,ATP6V1B2,MMAB,FAT1,GLTSCR2,LINC00152,CARD16,ELMO1,EFNA5,C1QA,GIMAP6,PTPRD,RP11-27M24.1,MAPK15
CPM,POMP,SMIM22,EPS8L2,HLA-B,RPL14,LGALS3BP,CAMK1,LINC00342,PSMA7,SHE,HOXA5,LINC01290,RIIAD1
SUMO2,PILRA,RBPMS,ALDOA,HLA-DPB1,FGD3,SFTA3,ANKRD44,RPS14,TNFSF10,ABI3BP,IGFBP3,RP11-496I9.1,C21orf59
RPS6,KLF4,TOP1,ABCC5,GNG5,APOC1,TBXAS1,LPL,IRS1,ATP1A1,ARHGAP23,PDPN,LINC00162,NEK10
NACA,CAP1,RAB25,DAB2,EIF1AY,RPL21,TSC22D1,FNBP1,SMAD3,TKT,HEY1,KANK2,GRK5,CFAP44
MT-ND1,GRB2,RPS6KA2,CSTA,ETS2,PRKCH,GPNMB,ADAP2,VAV3,BLVRB,SULF2,FSTL3,PXDN,SHROOM3
ICAM3,EVI2A,MYO1B,CYBA,STK17A,STK17A,FYN,LAPTM5,KREMEN1,LYZ,STXBP6,LHFP,RANBP17,RSPH9
RPL35,GM2A,RPS3,DHCR24,IFITM3,ARHGAP9,AGTRAP,PFN1,DSG2,TFRC,ADCY4,NEGR1,ST6GALNAC5,RFX2
MT-ATP6,SNX2,TNFRSF12A,STEAP4,RPL4,CD74,TCEAL4,A2M,NR2F2,CLIC1,ELN,CTGF,KRT80,SPAG1
VAPA,PNPLA6,NECAB1,CD163,ANXA5,RPL35A,CLDN7,IL10RA,RGS12,DSTN,SERPINE2,CYR61,LIN7A,MUC15
CTSD,ATP1B3,GFPT1,GRN,RPL14,FXYD5,PCBD1,RPS2,PTPRF,LTA4H,FAM171A1,ADGRA2,WASF3,CLUAP1
SPCS3,HMOX1,MPZL2,SNX10,BLVRB,ATP1B1,STK17B,TBXAS1,GPSM2,MGST3,LHFP,FBLN5,RIMKLA,DOC2A
SEL1L3,C4orf48,ZFP36,FOXA1,CD82,APOLD1,CASP1,TSC22D1,RPL36,TTLL7,SOX17,CLMP,SULT2B1,TTLL10
NDUFA4,OSCAR,NFIX,FNBP1L,FNBP1,PSAP,LDHB,CFL1,DDIT4,ZNRF1,GPR146,C10orf10,BDNF,NUDC
RPL18A,COTL1,PCBD1,MT-CO3,TBC1D10C,GSTP1,WFDC2,RP11-796E2.4,RPL39,RHOB,FSCN1,TPM1,MATN3,AK9
CLTA,RNASET2,GPRC5A,SEPW1,ARHGAP15,GAPDH,RPL13,STK17B,PSMA7,TSPAN3,PLEKHG1,PHLDB2,FTL,CENPM
NOP10,C9orf16,SPAG9,PTPRC,RPS27L,SARAF,RPL13A,WBP5,CYP4B1,SLC34A2,DNASE1L3,GPM6B,CD47,CLDN3
NDUFB2,TCF7L2,BNIP3,EHF,PTPRC,RPL28,RPL39,ZFP36L2,OCIAD2,C10orf128,MSRB3,FBLIM1,MPP3,UBXN10
MT-ND4,Sep-11,EPHX1,RAB27B,CEBPB,RPS21,ASGR1,TACC2,VIM,PRKCB,THSD7A,EFEMP2,PLEKHH2,CCDC80
RAC1,ITGAX,PEBP1,DTX4,SDC4,CD59,CD53,LITAF,NFIA,HLA-DQA1,SH2D3C,PTRF,EXPH5,PROM1
SRP14,FOLR3,KIAA1324L,SPINT1,UBA52,RPL31,TMEM176B,NAP1L1,RPS19,HOPX,ADGRL2,CLU,NKX2-1,CH17-340M24.3
RPS17,CECR1,DMKN,LAMA5,HLA-DPA1,MGST1,SFTPD,CXorf21,TSPAN8,C1QB,SEMA3F,PXDN,ARHGAP44,SLFN13
WSB1,FAM89A,RPS6,COLCA1,PDE7A,SRGN,PIGR,FKBP5,EFNB1,ETS2,HIF3A,GSTM3,SLC40A1,ALDH1A1
ATP1A1,CLEC12A,CHP1,NFIB,EEF1D,RP1-34B20.21,RP5-1171I10.5,GDI2,SESN3,RPL3,VIPR1,UPK3B,POLR2L,AGR2
SEL1L,BCAP31,NUP58,TNFSF10,TNFAIP8,PBXIP1,CLEC7A,LAT2,RPL27A,LGALS3BP,ITGB4,SMTN,EZR,SYT8
LINC01480,CES1,SARS,MCEMP1,UQCRQ,FKBP11,CDC42EP2,WFDC2,GRAMD3,S100A9,KIAA1462,CCL2,TSPAN12,CCDC114
DSTN,ANXA1,MET,SDPR,GNB2L1,MALAT1,HOPX,ASAH1,CCND1,RPS7,SLC39A14,FN1,PARVA,SOX2
TPD52,TUBB,SLC38A1,SFTA3,CD81,DEF6,FXYD5,RHOH,JAG1,NACA,FYN,VASN,MAL2,MAP3K19
CREB3L2,GPCPD1,PRDX2,TXNIP,MALAT1,GBP5,PLXNC1,TCF4,CD63,SERPING1,BTNL9,ALDH1A3,COL4A5,RP4-539M6.14
CTNNB1,RPS27L,CKS2,ATP6V0E1,B2M,LGALS3,ARRB2,RPL30,NDFIP2,NAPSA,F2R,SNCG,SGCE,MAP9
RPS8,SLC16A3,TMEM141,DBI,ADAM19,ALCAM,DAB2,SERPING1,LAMC2,ACSL4,PDE2A,F2R,MICAL2,WRB
APOC1,TYMP,TM7SF2,HMGB3,HLA-DQB1,FOS,CD37,CYTH4,ZFP36L1,PFDN5,IGF2,CHN1,PPL,DRC1
BLVRB,RAB31,TSPAN13,KRT17,RPS17,RHOF,CEACAM4,MT1E,PDGFA,UQCRH,DPYSL3,FGFR1,CD74,RGS22
H2AFY,PRDX1,DESI2,HLA-DPA1,DDIT4,WIPF1,SPINT2,IL16,GALNT5,YBX3,FOXC1,PTPRS,SPINT1,TNFRSF19
HLA-DRB5,PHLDA3,PFKFB2,EFNA1,IL2RG,ZFP36L2,RGCC,TFPI,RPS28,SAT1,FZD4,DMPK,LRRC1,PGM2L1
STOM,THEMIS2,MECOM,FAM46C,CD53,RGS1,PLEK,RPL27A,SFTPA1,RBM47,SEMA6B,PRKG1,NDRG1,RP11-275I14.4
HLA-DPA1,PTPRC,WWC3,TREM1,MT2A,FBP1,HMGN1,REL,KIAA1324,SNHG25,APOL3,RARRES1,ID4,BASP1
S100A4,SMCO4,RPSA,SNHG19,ACTB,HLA-F,FAM177A1,MARCKS,LYZ,PRDX5,TSPAN9,CAV1,ADRB2,CST6
RPS18,LAMP1,GLS,ATP6V1F,TXNIP,DUSP4,P2RY13,STK4,RPL35A,TMBIM6,KANK3,APOD,TMEM125,CFAP54
RHOA,CTSA,ADI1,FBP1,PLA2G16,RPL35,TCEAL8,C15orf48,RPL13,BRI3,PIK3C2B,TNFAIP6,PPFIBP1,CCDC88C
PLA2G16,PGD,C5orf38,ZEB2,RPS28,SCD,PKM,PGC,RPS21,DHRS9,ARHGEF15,DST,IGFBP7,DPCD
S100A13,CHCHD10,ATP8A1,FABP4,STOM,PRKX,EIF3K,SPI1,RPL37A,CIRBP,CLEC3B,TIMP1,HPCAL1,EFCAB10
PLIN2,GSN,ERLEC1,LINC01272,TYROBP,SLFN5,SERPINB1,RPL37,RPL7,CEBPD,FLT4,TCF4,ZNF431,CFAP45
ATP6V1F,VAMP8,DDAH1,MNDA,CPM,PFN1,PEBP4,RGS19,ANOS1,TTI1,HSPA12B,TFPI2,TINAGL1,GABPB1-AS1
LINC00152,CD63,STARD10,CCDC88A,C1QA,CNOT6L,GAS7,GMFG,AHDC1,CST3,FSTL1,ZEB1,TGFBR2,CC2D2A
BTG2,ARRB2,ANK3,AQP4,HNRNPA1,IL16,CLIC1,MALL,RPS15,HIST1H4C,FOXF1,FHL1,DPYSL2,HSPB11
MRPL14,BLOC1S2,POLR2L,ALOX5,FCER1G,FCGRT,S100A14,TM4SF1,CRLF1,XBP1,NPR3,GNG11,CYBRD1,UBE2H
CCNI,LEPROTL1,EEF2,HMGN3,AC006129.2,PSMB8-AS1,RPL29,MNDA,B2M,ATP5E,SEMA3G,NR2F2,HLA-DRA,SRGAP3-AS2
ARPC3,FCGR1A,TMPRSS2,S100A13,FBP1,HMHA1,CHST15,FABP4,MID1,SFTPD,PREX2,BNC2,FERMT2,DNAH10
MGST3,RGS10,CNN3,AGRN,TNF,TNFRSF1B,EPAS1,ADGRF5,S100A4,GNB2L1,SPHK1,PBX1,ALCAM,TRIM2
RPL13A,SLA,SLC25A3,MTRNR2L1,SMAP2,GPSM3,ANKRD28,LGALS3BP,RPS23,LPL,HRCT1,NES,SPRYD7,DYX1C1
ATP5G2,PTPN6,BMP1,NCF2,RPS19,RPL7,GPX4,KRT18,XPR1,ACOT7,GRK5,RUNX1T1,CNN3,MAP1B
GCHFR,CD44,CDK2AP2,RPS8,Sep-01,RPL15,LAMP3,CLDN7,HLA-C,STOM,DOC2B,SSPN,CLDN4,TSPAN6
RPS7,MYADM,EFNA1,ATP1B3,NAPSA,RPL26,KRT18,BASP1,HNRNPA1,LCP2,GPIHBP1,PRICKLE2,PARD6B,MORF4L2
CALM1,ACTR2,DHCR7,SYNPO,RAB13,GLTSCR2,CTSH,MAL2,HLA-DQB1,FBP1,C2CD4B,PHLDB1,TMEM98,TUSC3
SLPI,KCNAB2,RPL5,GPX4,LMNA,RPL6,LTB4R,EEF1B2,HES1,MS4A7,TSPAN18,IL6,PLEKHA1,TMEM232
ACSL1,SIRPA,CCND1,RP11-1143G9.4,FCGRT,HLA-DRB5,MTSS1,LPCAT1,KIAA1671,MRPL14,CNTNAP3B,COL27A1,GRAMD2,NME5
TAGLN2,FPR2,SMAGP,U47924.27,LSP1,RTN4,NFAM1,FAM177A1,FBP1,SLC44A1,PXDN,PMP22,RARRES2,CLMN
GNAQ,HCK,FAM129B,HEXB,RPL6,S100A4,CCR1,PIGR,RPL8,OLR1,C1QTNF1,EDIL3,IL17RE,P4HTM
LAMP1,ADAMTSL4,MVD,IL1R1,ITM2B,CD52,TPM3,CD4,TMEM98,HLA-DMB,PCDH1,CSPG4,SYNE2,RABL2A
SEPW1,SNX3,SOCS3,ATOH8,TSPO,FAU,OLR1,RPL19,TYROBP,PRPS2,C1orf115,IGF1,MGLL,RAB36
FCGRT,YWHAH,TRIB1,FCGRT,LAMP1,ETS2,PTMA,MAFB,MT-CO3,KIF13B,GPR4,ITLN1,PEAK1,ABHD2
HOPX,CKLF,NCOA7,KRT15,PLIN2,SFTPB,PSMB9,IFI30,ZNF608,MUC1,NOS1,PRSS23,DAG1,TEKT2
H3F3B,ARHGDIB,GSTP1,UBB,ZFAND5,DGKA,C5AR1,LDLR,BCL11A,CSF2RB,AIF1L,SLC38A5,TJP2,DNAI1
ST13,CHIT1,SOCS2,PYCARD,AQP3,S100A11,LAPTM5,SGMS2,GLIS3,GPR183,BMX,LIF,TRAM1,ABI2
LMAN1,ATP6V0D1,PRKAR1A,NOP10,RPS4Y1,C1QB,FGGY,SLC16A3,SRGN,ARPC1B,CSRP2,RBMS3,RARRES3,FABP6
ALDOA,UBASH3B,CREB3L1,FGFR2,EEF1A1,BIRC3,DBI,ARPC1B,GPRC5A,S100A13,BCL6B,PLOD2,UBL3,SPAG8
RPS27A,FHL1,GOLT1A,SLC4A4,SLC34A2,PARP8,ATP5G2,DSE,LAPTM5,DHCR24,DOCK6,PLSCR4,IFT57,ZKSCAN1
LAMTOR5,BAX,OCLN,HLA-DQA1,EEF2,IFI16,KRT8,RPL39,TP53TG1,AIF1,FENDRR,ARID5B,AHNAK,C22orf15
COX6C,GAA,POLR2C,SLC7A7,TMEM154,RPS10,TACC2,TSPAN3,C1QB,TOP1,GATA2-AS1,IGSF10,S100A6,ANKUB1
CTA-292E10.6,ACER3,LGALSL,NET1,SFTA2,PTPN22,LY86,SDR16C5,TUSC3,AK1,A4GALT,SETBP1,GALNT18,PSCA
TYROBP,UBE2L6,HMGCR,CHD3,CEBPD,LYZ,MALL,TIMP1,FCER1G,LAMP3,SEMA6A,PRKCDBP,COBL,FAM65B
NDUFS5,OPN3,CKB,CFD,TUBA4A,MS4A7,GNAI2,PPP1R18,ITGA6,MCTP2,FBLIM1,ZCCHC24,SESTD1,CASC1
CXCL16,LY86,RASEF,RBPMS,LYZ,FAM65B,C1QB,SUSD3,PPL,ID2,RP11-251M1.1,CRABP2,FTH1,VWA3A
TCEAL4,ATP5G3,EMP2,CAPN2,DAB2,RBM47,PGC,CREB5,TMEM45A,SMCO4,SMAD9,ANTXR1,RRAS,PTGES3
C6orf48,LAMP2,NPNT,PTK7,MGST3,SERPING1,IL10RA,WAS,RPL29,SGMS2,MCF2L,MFGE8,PMEPA1,DNAAF3
FCER1G,SKAP2,C12orf57,IGSF6,MUC1,HLA-DMA,SELM,IFI16,MS4A7,MYDGF,AFAP1L1,CD34,ATHL1,DLEC1
PRDX6,VMO1,RPS5,PLXNB2,NAMPT,PSME1,RILPL2,CD9,BCL7A,REEP3,PDGFB,MT2A,DUSP8,PKIG
HSPB1,OTOA,RASGRF1,CCDC80,TPT1,CTNNB1,EMP2,GPRC5A,CD52,SQRDL,TBX3,HEG1,KHDRBS3,TSGA10
ATP6V1G1,GPSM3,FILIP1,HCST,CTNNB1,S100A13,LAMTOR4,SEC14L1,USP31,CAT,TMEM47,FMO2,F11R,TSTD1
NAP1L1,FXYD5,PID1,ABLIM1,YBX3,DSTN,ADGRF5,PLEK,C1QA,P4HB,GPRC5B,PKIG,MYO5B,CD59
HIST1H2BN,MPHOSPH6,FAM213A,LY96,PSMB9,RPL36,CDKN2D,ACTG1,HLA-DMA,PLA2G16,PALM,NNMT,ATP1A1,TMEM123
CTA-384D8.34,ACTB,ARMC9,CTSL,RPL36A,DAB2,SLC2A3,EPAS1,ATP6V0B,HLA-B,LTBP1,IFITM3,ARAP2,FAM179A
RPSA,NCKAP1L,CMTM8,DDX17,JUND,CTSZ,LGMN,ABCA3,CDK6,SUB1,DCHS1,ANXA6,ITGB6,DNAH6
MLPH,CDC42,PRSS8,UPP1,C1QB,RAB13,RPL37,MSMO1,RPL15,CYTH4,PLCXD3,SELM,ADRB1,C11orf70
MT2A,FUOM,TCEA3,TFRC,TSC22D3,RP11-796E2.4,LILRB3,IER3,HLA-DQA1,COX7C,F2RL3,TNC,PDGFA,CALM2
SEC11A,MME,PRKCI,ITM2B,FAM65B,PCSK7,FABP4,FGGY,UGCG,CXCL17,ARAP3,RGS5,LMO3,C10orf107
DAB2,TXN,HSBP1L1,PLAUR,CTSC,PRKCB,MAL2,KRT8,CTSS,CTNNB1,PEAR1,CNN3,PLXNB2,TRIM56
MS4A7,CAPZA1,EBPL,CYP27A1,HLA-C,SYTL1,FPR2,RPS13,RPS9,HLA-DRB5,CNRIP1,C2orf40,JADE1,MAP1A
LAMTOR4,RTN4,PIP5K1B,TIMP2,LAPTM5,SUSD3,AGR3,MARCO,HOOK2,PCBD1,SHANK3,SRGAP1,DDR1,TCTN1
CEBPD,ASAH1,IRX2,ADGRF5,SERF2,IFITM2,JUNB,FCGR2A,RPS5,RGCC,FAM110D,MEST,NAV2,SPTBN1
RPS4X,PAG1,FOXA2,KRT8,CHP1,CFL1,PPIC,C4BPA,ARSJ,NAMPT,ABLIM3,CD74,INADL,RSPH3
SFTA2,PRR13,CDS1,GYPC,SDCBP,GSN,CYSTM1,DLC1,C6orf132,GNAS,NOVA2,EPHB6,DMKN,UBAC1
ALCAM,SLC15A3,C12orf49,ACTB,ALCAM,ID2,C2,C16orf89,PMEPA1,CSTA,HECW2,MT1X,HLA-DPB1,YBX3
FBP1,CARD16,AC079630.4,RPL13A,ATP6V0B,C1QA,FXYD3,MRPL14,PLIN2,PGC,TOX2,MMP14,FZD5,GCC2
CTSC,GPX4,LAPTM4B,GPNMB,HIST1H2BG,RPL29,CNPY3,HLA-E,CAV1,TMEM255B,DYSF,ITGB1,LDLR,C11orf16
SLC34A2,CLEC2B,SPTBN1,PAM,ACSL1,CXCL16,RNF144B,CXCL2,ACP5,MRPS15,DACH1,BAG2,CUX1,OSCP1
CMB9-22P13.1,SERF2,FXYD3,SERPINF1,RNASE1,HMGB2,TFPI,CD37,MT-CO1,SCARB2,NOS3,SLC16A1,ERBB3,CYB561
UBL5,MCOLN1,NFIC,COTL1,SSR3,RPL34,ACTR2,LCP2,LPL,ELF1,GIPC2,IGFBP4,HSPB8,PRKAR1A
BLOC1S1,RAP1B,HYI,CD44,DHCR24,SLPI,FASN,HCST,SYNPO,RNASE1,CDH11,ZNF703,UTRN,C17orf97
RPL5,MGAT1,IL6ST,NGFRAP1,CD151,SMCHD1,LINC00998,FCER1G,ATP1B1,MRC1,MYRIP,CSTB,REPS2,DSP
SUB1,AKIRIN2,ID4,MALL,S100A13,SUB1,FAM49A,IFNGR1,RIC3,PDXK,SMTN,C12orf75,SFTA3,NUCB2
YBX3,FPR3,RAI14,SH3BGRL,RPS16,IRF1,CPPED1,LILRB4,EEF1A1,PEBP4,ZNF521,UACA,GSTP1,FGF14
ARPC5,ABHD5,ACSS2,RP11-532F12.5,PLD3,CPM,MGLL,HNRNPA1,ALDH7A1,COMT,PKN3,HLA-DRA,ATP11A,RPGR
CDC42,VDAC1,SPRY4,GTF2I,MLPH,ACP5,GPRC5A,RASSF4,FGFR2,CLDN7,ST6GALNAC3,FERMT2,HLA-DPA1,IRX3
RPL10,ACOT7,CERS2,SDCBP,LPL,RPL37,C1QC,DOCK10,PLK2,AHNAK,KALRN,COL12A1,FOXA2,NWD1
